Product,ASIN,Aspect,Avg_Dist,PMI,n_reviews,is_aspect,part_of_trigram
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless usb,1.52,0.00023,109,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,usb port,1.06,0.00123,102,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,signal strength,1.03,0.00166,87,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless router,1.38,0.00018,75,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,install driver,1.93,0.00049,75,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,link tl,1.01,0.0011,71,,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,instal driver,2.01,0.00052,67,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wifi adapter,1.08,0.00016,63,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless network,1.28,0.00025,63,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,tp tl,2.96,0.001,58,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless n,1.39,0.0005,56,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,strong signal,1.48,0.00127,56,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,dual band,1.24,0.00403,52,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless card,1.24,0.00043,51,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,usb cable,1.51,0.00047,48,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wi fi,1.99,0.00881,46,1,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,link adapter,1.66,8.00E-05,44,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,car charger,1.15,0.00027,267,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,blue light,1.22,0.00096,266,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,charge phone,1.99,0.0003,264,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,micro usb,1.54,0.00264,139,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,motorola charger,1.66,0.00012,76,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,usb charger,1.75,0.00017,67,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,samsung galaxy,1.02,0.00363,65,,1
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,cell phone,1,0.00082,48,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,phone charger,2.15,3.00E-05,44,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,rapid charger,1.78,0.00044,41,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,galaxy s3,1,0.00536,39,,1
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,motorola logo,1.15,0.00108,38,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,micro charger,2.66,0.00013,37,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,charger charge,2.17,2.00E-05,37,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,blue glow,1.11,0.00057,37,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,cool light,2.26,0.00049,37,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,usb port,1.14,0.00186,37,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,cheap charger,1.89,0.00012,34,0,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,wall charger,1.23,0.00047,33,1,
Motorola Vehicle Power Adapter micro-USB Charger,B000S5Q9CA,light bright,2.58,0.00044,32,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,sd card,1.13,0.00043,228,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,memory card,1.07,0.00027,173,1,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,micro card,1.87,0.00041,148,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,micro sd,1.15,0.00121,126,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,flash card,1.36,0.00043,94,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,cell phone,1.02,0.00157,79,1,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,sd adapter,1.41,0.00043,64,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,card adapter,2.25,0.00011,56,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,flash memory,1.16,0.00081,54,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,kingston card,2.02,9.00E-05,49,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,card reader,1.17,0.00044,47,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,microsd card,1.13,0.00047,46,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,microsdhc card,1.48,0.00036,46,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,class card,2.4,0.00016,42,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,mp3 player,1,0.00981,41,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,kingston gb,2.13,0.0008,38,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,samsung galaxy,1,0.00603,37,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,come adapter,2.61,0.00058,36,0,
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,microsdhc flash,1.86,0.00247,36,,1
Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,B000VX6XL6,gb microsdhc,1.68,0.00305,35,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,flash drive,1.01,0.00047,505,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,usb drive,1.49,0.00019,163,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,thumb drive,1.02,0.0005,96,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,kingston drive,1.87,0.00011,93,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,transfer file,1.55,0.0005,84,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,data transfer,1.19,0.00068,75,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,usb port,1.16,0.00118,65,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,large file,1.2,0.00083,61,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,usb flash,1.13,0.00014,61,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,hard drive,1.03,0.00035,61,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,kingston flash,1.68,0.00014,57,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,gb drive,2.09,0.00012,55,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,transfer speed,1.19,0.00047,51,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,lose cap,2.05,0.00137,42,0,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,write speed,1.22,0.00113,35,1,
Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),B0041Q38NU,gb flash,1.32,0.00016,34,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,hdmi cable,1.07,0.00016,926,1,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,expensive cable,1.46,0.00013,187,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,quality cable,1.87,4.00E-05,138,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,monster cable,1.37,0.00015,130,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,picture quality,1.42,0.0004,127,1,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,cheap cable,1.9,6.00E-05,123,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,blu ray,1.71,0.00613,111,,1
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,dvd player,1.05,0.00245,100,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,high cable,2.49,7.00E-05,83,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,high quality,1.07,0.00038,80,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,cable box,1.2,9.00E-05,75,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,cable connect,2.12,6.00E-05,74,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,digital signal,1.17,0.0012,71,1,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,ray player,1.04,0.00175,66,,1
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,video audio,2.04,0.00188,63,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,waste money,1.84,0.00275,59,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,picture sound,2.13,0.00078,57,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,tell difference,2.03,0.00145,56,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,expensive one,1.15,0.00017,55,0,
DVI Gear HDMI-2M 2M/6' HDMI Cable,B0002L5R78,blu player,2.75,0.00179,53,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,logitech trackball,1.53,0.00014,124,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,trackball mouse,1.48,6.00E-05,113,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,battery life,1.03,0.00208,90,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,scroll wheel,1.08,0.00286,83,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,track ball,1.01,0.00116,74,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,wireless trackball,1.19,0.00012,71,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,logitech mouse,2.2,5.00E-05,68,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,move mouse,2.19,0.00012,65,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,regular mouse,1.17,0.00052,65,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,logitech wireless,1.53,0.00018,64,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,wireless mouse,1.36,7.00E-05,62,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,usb port,1,0.00324,59,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,battery last,1.5,0.00074,57,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,long time,1.18,0.0008,56,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,old trackball,1.88,0.00015,51,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,forward button,2.24,0.00111,49,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,wire version,1.06,0.00109,49,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,wire trackball,1.38,0.00014,47,0,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,usb receiver,1.28,0.00083,46,1,
"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",B0043T7FXE,wireless version,1.21,0.00038,44,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,cable modem,1.26,0.00012,284,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,old modem,1.61,0.00015,162,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,modem comcast,2.12,4.00E-05,153,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,docsis modem,2.24,0.00015,148,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,time warner,1.04,0.00171,131,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,call comcast,1.33,0.00024,110,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,mac address,1.01,0.00386,93,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,wireless router,1.35,0.00098,90,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,internet speed,1.24,0.00019,90,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,download speed,1.34,0.00048,84,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,rental fee,1.07,0.00225,83,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,motorola modem,1.77,0.0001,79,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,own modem,1.64,0.00013,78,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,internet service,1.06,0.00035,77,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,comcast internet,1.85,0.0001,77,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,rent modem,2.06,0.00014,74,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,high speed,1.22,0.00063,74,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,replace modem,2.35,0.00011,71,0,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,monthly fee,1.51,0.00298,68,1,
"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",B004XC6GJ0,lease modem,1.79,0.00017,67,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,hard drive,1.05,0.00034,248,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,boot time,1.36,0.0004,126,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,old drive,1.62,0.00014,121,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,samsung software,1.88,0.00029,111,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,ssd drive,1.64,5.00E-05,111,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,samsung ssd,1.53,0.00012,97,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,macbook pro,1.08,0.00209,88,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,samsung magician,1.11,0.00076,75,,1
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,samsung drive,1.87,4.00E-05,75,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,samsung evo,1.79,0.00048,75,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,magician software,1.2,0.00084,72,,1
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,boot drive,1.37,5.00E-05,68,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,clone drive,2.51,0.00014,60,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,drive fast,2.28,4.00E-05,57,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,include software,1.49,0.00068,57,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,solid state,1.07,0.00784,56,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,migration software,1.07,0.00068,55,1,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,instal drive,2.16,6.00E-05,54,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,software come,2.19,0.00029,53,0,
[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),B00E3W15P0,data migration,1.03,0.00144,50,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,wireless keyboard,1.3,0.00016,209,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,touch pad,1.12,0.00094,186,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,keyboard mouse,2.15,7.00E-05,150,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,shift key,1.11,0.00052,147,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,battery life,1.04,0.0019,100,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,living room,1.02,0.00406,95,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,click button,1.23,0.00061,93,,1
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,left button,2.38,0.00054,86,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,home theater,1.03,0.00428,84,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,track pad,1.1,0.00154,83,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,logitech keyboard,1.95,5.00E-05,78,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,mouse button,1.33,0.00022,78,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,usb port,1.05,0.00232,77,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,arrow key,1.15,0.00042,75,1,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,left click,1.65,0.00078,74,,1
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,mouse pad,1.14,0.00022,74,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,full keyboard,2.18,0.00014,69,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,foot away,1.01,0.00218,68,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,size keyboard,1.63,6.00E-05,67,0,
"Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad, Black",B005DKZTMG,smart tv,1.12,0.00114,64,1,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,sound quality,1.17,0.00021,554,1,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,ear bud,1.16,0.00023,347,1,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,fit ear,2.66,0.0001,226,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,ear headphone,1.15,5.00E-05,172,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,stay ear,2.86,0.00021,136,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,listen music,2.16,0.00091,114,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,different size,1.17,0.00126,97,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,pair headphone,2.22,6.00E-05,90,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,ear canal,1.02,0.00035,85,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,cheap headphone,1.55,8.00E-05,73,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,small ear,1.42,0.00012,71,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,headphone sound,2.18,1.00E-05,69,0,
"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",B003ELYQGG,size ear,1.86,0.0001,68,0,
